received,host,jitter,packet_loss,avgping,minping,time,sent,maxping
1,192.168.123.2,0.000,0,16.292,16.292,19:33:25,1,16.292
1,192.168.123.2,0.000,0,0.070,0.070,19:33:26,1,0.070
1,192.168.123.2,0.000,0,0.124,0.124,19:33:27,1,0.124
1,192.168.123.2,0.000,0,0.115,0.115,19:33:28,1,0.115
1,192.168.123.2,0.000,0,0.049,0.049,19:33:29,1,0.049
1,192.168.123.2,0.000,0,0.081,0.081,19:33:30,1,0.081
1,192.168.123.2,0.000,0,0.066,0.066,19:33:31,1,0.066
1,192.168.123.2,0.000,0,0.055,0.055,19:33:32,1,0.055
1,192.168.123.2,0.000,0,0.079,0.079,19:33:33,1,0.079
1,192.168.123.2,0.000,0,0.052,0.052,19:33:34,1,0.052
1,192.168.123.2,0.000,0,0.307,0.307,19:34:15,1,0.307
1,192.168.123.2,0.000,0,0.059,0.059,19:34:16,1,0.059
1,192.168.123.2,0.000,0,0.054,0.054,19:34:17,1,0.054
1,192.168.123.2,0.000,0,0.053,0.053,19:34:18,1,0.053
1,192.168.123.2,0.000,0,0.059,0.059,19:34:19,1,0.059
1,192.168.123.2,0.000,0,0.053,0.053,19:34:20,1,0.053
1,192.168.123.2,0.000,0,0.061,0.061,19:34:21,1,0.061
1,192.168.123.2,0.000,0,0.055,0.055,19:34:22,1,0.055
1,192.168.123.2,0.000,0,0.056,0.056,19:34:23,1,0.056
1,192.168.123.2,0.000,0,0.114,0.114,19:34:24,1,0.114
1,192.168.123.2,0.000,0,0.052,0.052,19:34:25,1,0.052
1,192.168.123.2,0.000,0,0.052,0.052,19:34:26,1,0.052
1,192.168.123.2,0.000,0,0.069,0.069,19:34:27,1,0.069
1,192.168.123.2,0.000,0,0.094,0.094,19:34:28,1,0.094
1,192.168.123.2,0.000,0,0.088,0.088,19:34:29,1,0.088
1,192.168.123.2,0.000,0,0.098,0.098,19:34:30,1,0.098
1,192.168.123.2,0.000,0,0.058,0.058,19:34:32,1,0.058
1,192.168.123.2,0.000,0,0.054,0.054,19:34:33,1,0.054
1,192.168.123.2,0.000,0,0.049,0.049,19:34:34,1,0.049
1,192.168.123.2,0.000,0,0.049,0.049,19:34:35,1,0.049
1,192.168.123.2,0.000,0,0.057,0.057,19:34:36,1,0.057
1,192.168.123.2,0.000,0,0.048,0.048,19:34:37,1,0.048
1,192.168.123.2,0.000,0,0.338,0.338,19:34:38,1,0.338
1,192.168.123.2,0.000,0,0.052,0.052,19:34:39,1,0.052
1,192.168.123.2,0.000,0,0.051,0.051,19:34:40,1,0.051
1,192.168.123.2,0.000,0,0.049,0.049,19:34:41,1,0.049
1,192.168.123.2,0.000,0,0.173,0.173,19:34:42,1,0.173
1,192.168.123.2,0.000,0,0.055,0.055,19:34:43,1,0.055
1,192.168.123.2,0.000,0,0.060,0.060,19:34:44,1,0.060
1,192.168.123.2,0.000,0,0.051,0.051,19:34:45,1,0.051
1,192.168.123.2,0.000,0,0.051,0.051,19:34:46,1,0.051
1,192.168.123.2,0.000,0,0.093,0.093,19:34:47,1,0.093
1,192.168.123.2,0.000,0,0.098,0.098,19:34:48,1,0.098
1,192.168.123.2,0.000,0,0.054,0.054,19:34:49,1,0.054
1,192.168.123.2,0.000,0,0.238,0.238,19:34:50,1,0.238
1,192.168.123.2,0.000,0,0.050,0.050,19:34:51,1,0.050
1,192.168.123.2,0.000,0,0.060,0.060,19:34:52,1,0.060
1,192.168.123.2,0.000,0,0.201,0.201,19:34:53,1,0.201
1,192.168.123.2,0.000,0,0.102,0.102,19:34:54,1,0.102
1,192.168.123.2,0.000,0,0.051,0.051,19:34:55,1,0.051
1,192.168.123.2,0.000,0,0.050,0.050,19:34:56,1,0.050
1,192.168.123.2,0.000,0,0.117,0.117,19:34:57,1,0.117
