received,host,jitter,packet_loss,avgping,minping,time,sent,maxping
1,192.168.123.2,0.000,0,41.824,41.824,20:8:34,1,41.824
1,192.168.123.2,0.000,0,0.056,0.056,20:8:35,1,0.056
1,192.168.123.2,0.000,0,0.190,0.190,20:8:36,1,0.190
1,192.168.123.2,0.000,0,0.050,0.050,20:8:37,1,0.050
1,192.168.123.2,0.000,0,0.126,0.126,20:8:38,1,0.126
1,192.168.123.2,0.000,0,0.055,0.055,20:8:39,1,0.055
1,192.168.123.2,0.000,0,0.049,0.049,20:8:40,1,0.049
1,192.168.123.2,0.000,0,0.071,0.071,20:8:41,1,0.071
1,192.168.123.2,0.000,0,0.052,0.052,20:8:42,1,0.052
1,192.168.123.2,0.000,0,0.054,0.054,20:8:43,1,0.054
1,192.168.123.2,0.000,0,0.103,0.103,20:8:44,1,0.103
1,192.168.123.2,0.000,0,0.050,0.050,20:8:45,1,0.050
1,192.168.123.2,0.000,0,0.058,0.058,20:8:46,1,0.058
1,192.168.123.2,0.000,0,0.056,0.056,20:8:47,1,0.056
1,192.168.123.2,0.000,0,0.055,0.055,20:8:48,1,0.055
1,192.168.123.2,0.000,0,0.059,0.059,20:8:49,1,0.059
1,192.168.123.2,0.000,0,0.088,0.088,20:8:50,1,0.088
1,192.168.123.2,0.000,0,0.051,0.051,20:8:51,1,0.051
1,192.168.123.2,0.000,0,0.076,0.076,20:8:52,1,0.076
1,192.168.123.2,0.000,0,0.050,0.050,20:8:53,1,0.050
1,192.168.123.2,0.000,0,0.054,0.054,20:8:54,1,0.054
1,192.168.123.2,0.000,0,0.053,0.053,20:8:55,1,0.053
1,192.168.123.2,0.000,0,0.048,0.048,20:8:56,1,0.048
1,192.168.123.2,0.000,0,0.056,0.056,20:8:57,1,0.056
1,192.168.123.2,0.000,0,0.548,0.548,20:8:58,1,0.548
1,192.168.123.2,0.000,0,0.077,0.077,20:8:59,1,0.077
1,192.168.123.2,0.000,0,0.053,0.053,20:9:0,1,0.053
1,192.168.123.2,0.000,0,0.064,0.064,20:9:1,1,0.064
1,192.168.123.2,0.000,0,0.124,0.124,20:9:2,1,0.124
1,192.168.123.2,0.000,0,0.152,0.152,20:9:3,1,0.152
1,192.168.123.2,0.000,0,0.060,0.060,20:9:4,1,0.060
1,192.168.123.2,0.000,0,0.096,0.096,20:9:5,1,0.096
1,192.168.123.2,0.000,0,0.100,0.100,20:9:6,1,0.100
1,192.168.123.2,0.000,0,0.082,0.082,20:9:7,1,0.082
1,192.168.123.2,0.000,0,0.087,0.087,20:9:8,1,0.087
1,192.168.123.2,0.000,0,0.061,0.061,20:9:9,1,0.061
