received,host,jitter,packet_loss,avgping,minping,time,sent,maxping
0,192.168.123.2,NaN,100,NaN,NaN,13:51:29,1,NaN
1,192.168.123.2,0.000,0,5.104,5.104,13:51:30,1,5.104
1,192.168.123.2,0.000,0,0.095,0.095,13:51:31,1,0.095
1,192.168.123.2,0.000,0,0.051,0.051,13:51:32,1,0.051
1,192.168.123.2,0.000,0,0.052,0.052,13:51:33,1,0.052
1,192.168.123.2,0.000,0,0.059,0.059,13:51:34,1,0.059
1,192.168.123.2,0.000,0,0.079,0.079,13:51:35,1,0.079
1,192.168.123.2,0.000,0,0.074,0.074,13:51:36,1,0.074
1,192.168.123.2,0.000,0,0.104,0.104,13:51:37,1,0.104
1,192.168.123.2,0.000,0,0.073,0.073,13:51:38,1,0.073
1,192.168.123.2,0.000,0,0.047,0.047,13:51:44,1,0.047
1,192.168.123.2,0.000,0,0.184,0.184,13:51:45,1,0.184
1,192.168.123.2,0.000,0,0.074,0.074,13:51:46,1,0.074
1,192.168.123.2,0.000,0,0.073,0.073,13:51:47,1,0.073
1,192.168.123.2,0.000,0,0.048,0.048,13:51:48,1,0.048
1,192.168.123.2,0.000,0,0.085,0.085,13:51:49,1,0.085
1,192.168.123.2,0.000,0,0.072,0.072,13:51:50,1,0.072
1,192.168.123.2,0.000,0,0.052,0.052,13:51:51,1,0.052
1,192.168.123.2,0.000,0,0.054,0.054,13:51:52,1,0.054
1,192.168.123.2,0.000,0,0.050,0.050,13:51:53,1,0.050
1,192.168.123.2,0.000,0,0.061,0.061,13:51:54,1,0.061
1,192.168.123.2,0.000,0,0.050,0.050,13:51:55,1,0.050
1,192.168.123.2,0.000,0,0.067,0.067,13:51:56,1,0.067
1,192.168.123.2,0.000,0,0.049,0.049,13:51:57,1,0.049
1,192.168.123.2,0.000,0,0.061,0.061,13:51:58,1,0.061
1,192.168.123.2,0.000,0,0.218,0.218,13:52:20,1,0.218
1,192.168.123.2,0.000,0,0.059,0.059,13:52:21,1,0.059
1,192.168.123.2,0.000,0,0.051,0.051,13:52:22,1,0.051
1,192.168.123.2,0.000,0,0.077,0.077,13:52:23,1,0.077
1,192.168.123.2,0.000,0,0.052,0.052,13:52:24,1,0.052
1,192.168.123.2,0.000,0,0.062,0.062,13:52:25,1,0.062
1,192.168.123.2,0.000,0,0.064,0.064,13:52:26,1,0.064
1,192.168.123.2,0.000,0,0.049,0.049,13:52:27,1,0.049
1,192.168.123.2,0.000,0,0.051,0.051,13:52:28,1,0.051
1,192.168.123.2,0.000,0,0.053,0.053,13:52:29,1,0.053
1,192.168.123.2,0.000,0,0.050,0.050,13:52:35,1,0.050
1,192.168.123.2,0.000,0,0.054,0.054,13:52:36,1,0.054
1,192.168.123.2,0.000,0,0.057,0.057,13:52:37,1,0.057
1,192.168.123.2,0.000,0,0.054,0.054,13:52:38,1,0.054
1,192.168.123.2,0.000,0,0.048,0.048,13:52:39,1,0.048
1,192.168.123.2,0.000,0,0.079,0.079,13:52:40,1,0.079
1,192.168.123.2,0.000,0,0.048,0.048,13:52:41,1,0.048
1,192.168.123.2,0.000,0,0.052,0.052,13:52:42,1,0.052
1,192.168.123.2,0.000,0,0.075,0.075,13:52:43,1,0.075
1,192.168.123.2,0.000,0,0.050,0.050,13:52:44,1,0.050
1,192.168.123.2,0.000,0,0.223,0.223,13:52:59,1,0.223
1,192.168.123.2,0.000,0,0.063,0.063,13:53:0,1,0.063
1,192.168.123.2,0.000,0,0.051,0.051,13:53:1,1,0.051
1,192.168.123.2,0.000,0,0.052,0.052,13:53:2,1,0.052
1,192.168.123.2,0.000,0,0.052,0.052,13:53:3,1,0.052
1,192.168.123.2,0.000,0,0.091,0.091,13:53:4,1,0.091
1,192.168.123.2,0.000,0,0.062,0.062,13:53:5,1,0.062
1,192.168.123.2,0.000,0,0.077,0.077,13:53:6,1,0.077
1,192.168.123.2,0.000,0,0.062,0.062,13:53:7,1,0.062
1,192.168.123.2,0.000,0,0.183,0.183,13:53:8,1,0.183
1,192.168.123.2,0.000,0,0.291,0.291,13:56:45,1,0.291
1,192.168.123.2,0.000,0,0.078,0.078,13:56:46,1,0.078
1,192.168.123.2,0.000,0,0.075,0.075,13:56:47,1,0.075
1,192.168.123.2,0.000,0,0.077,0.077,13:56:48,1,0.077
1,192.168.123.2,0.000,0,0.102,0.102,13:56:49,1,0.102
1,192.168.123.2,0.000,0,0.126,0.126,13:56:50,1,0.126
1,192.168.123.2,0.000,0,0.060,0.060,13:56:51,1,0.060
1,192.168.123.2,0.000,0,0.094,0.094,13:56:52,1,0.094
1,192.168.123.2,0.000,0,0.049,0.049,13:56:53,1,0.049
1,192.168.123.2,0.000,0,0.056,0.056,13:56:54,1,0.056
1,192.168.123.2,0.000,0,0.251,0.251,13:59:15,1,0.251
1,192.168.123.2,0.000,0,0.074,0.074,13:59:16,1,0.074
1,192.168.123.2,0.000,0,0.072,0.072,13:59:17,1,0.072
1,192.168.123.2,0.000,0,0.059,0.059,13:59:18,1,0.059
